scoring_metric,model,r2,mse,mae,rmse
r2,geral,0.3006244308460313,214.19804414208343,5.708862397420636,14.635506282397047
r2,G4,0.5731520951974456,7.625397490481176,1.3507847747585726,2.761412227553354
r2,F7,0.6301516866099945,77.7535430843639,3.884542483656651,8.817796951867507
r2,M5,0.13554233845774422,29.33445400954997,3.1591046235289006,5.416129061382305
neg_mean_squared_error,geral,0.3006244308460313,214.19804414208343,5.708862397420636,14.635506282397047
neg_mean_squared_error,G4,0.5731520951974456,7.625397490481176,1.3507847747585726,2.761412227553354
neg_mean_squared_error,F7,0.6301516866099945,77.7535430843639,3.884542483656651,8.817796951867507
neg_mean_squared_error,M5,-0.24010540674984515,42.081661878497215,3.2167010272136642,6.487037989598736
neg_mean_absolute_error,geral,0.3006244308460313,214.19804414208343,5.708862397420636,14.635506282397047
neg_mean_absolute_error,G4,0.6109546428504633,6.950076260685154,1.3180478036992003,2.636299728916489
neg_mean_absolute_error,F7,0.6301516866099945,77.7535430843639,3.884542483656651,8.817796951867507
neg_mean_absolute_error,M5,0.15858557571778087,28.552506189884944,3.0307411214467175,5.343454518369642
neg_root_mean_squared_error,geral,0.3006244308460313,214.19804414208343,5.708862397420636,14.635506282397047
neg_root_mean_squared_error,G4,0.5731520951974456,7.625397490481176,1.3507847747585726,2.761412227553354
neg_root_mean_squared_error,F7,0.6301516866099945,77.7535430843639,3.884542483656651,8.817796951867507
neg_root_mean_squared_error,M5,-0.24010540674984515,42.081661878497215,3.2167010272136642,6.487037989598736
