scoring_metric,model,r2,mse,mae,rmse
r2,geral,0.7353037386416171,81.06863318556287,2.313156954482197,9.003812147394173
r2,G4,0.7388027511779283,4.666141787927301,1.0667272039577422,2.160125410231383
r2,F7,0.7576732310770229,50.94457426409495,3.2834302670623146,7.137546795930304
r2,M5,0.5721325140177048,14.519229394458762,2.1806733676975947,3.8104106595561014
neg_mean_squared_error,geral,0.7242008140144863,84.46913049241807,2.3822496502867594,9.190708922189739
neg_mean_squared_error,G4,0.7405228483253299,4.635413220857849,1.0681432294623148,2.153000980226867
neg_mean_squared_error,F7,0.8310610811752295,35.51618062839763,3.0602347181008906,5.959545337389223
neg_mean_squared_error,M5,0.5433462648047038,15.496060234432692,2.2323036597938146,3.9365035544798754
neg_mean_absolute_error,geral,0.7043535463416875,90.54776135197271,2.344587014061208,9.515658745035612
neg_mean_absolute_error,G4,0.7182937911770629,5.03252281115223,1.0904935469883317,2.2433285116434085
neg_mean_absolute_error,F7,0.8444504242270556,32.70132701365726,2.8897105341246285,5.718507411349334
neg_mean_absolute_error,M5,0.5131274709079887,16.52150295907205,2.321356254295533,4.064665171828062
neg_root_mean_squared_error,geral,0.6506856240912002,106.98465804416044,2.4817148883374687,10.343338824778025
neg_root_mean_squared_error,G4,0.7293300385934793,4.835366464812898,1.0795505045129632,2.1989466716618886
neg_root_mean_squared_error,F7,0.8387596568575522,33.897702148620176,2.9413225519287836,5.822173318325398
neg_root_mean_squared_error,M5,0.5993863344554596,13.594399899871917,2.1445487714776634,3.687058434561611
