model,filter,scoring_metric,r2,mse,mae,rmse
KNN,F7,r2,0.6301516866099945,77.7535430843639,3.884542483656651,8.817796951867507
KNN,F7,neg_mean_squared_error,0.6301516866099945,77.7535430843639,3.884542483656651,8.817796951867507
KNN,F7,neg_mean_absolute_error,0.6301516866099945,77.7535430843639,3.884542483656651,8.817796951867507
KNN,F7,neg_root_mean_squared_error,0.6301516866099945,77.7535430843639,3.884542483656651,8.817796951867507
KNN,G4,r2,0.5731520951974456,7.625397490481176,1.3507847747585726,2.761412227553354
KNN,G4,neg_mean_squared_error,0.5731520951974456,7.625397490481176,1.3507847747585726,2.761412227553354
KNN,G4,neg_mean_absolute_error,0.6109546428504633,6.950076260685154,1.3180478036992005,2.636299728916489
KNN,G4,neg_root_mean_squared_error,0.5731520951974456,7.625397490481176,1.3507847747585726,2.761412227553354
KNN,M5,r2,0.1355423384577442,29.33445400954997,3.1591046235289006,5.416129061382305
KNN,M5,neg_mean_squared_error,-0.2401054067498451,42.081661878497215,3.216701027213664,6.487037989598736
KNN,M5,neg_mean_absolute_error,0.1585855757177808,28.552506189884944,3.030741121446717,5.343454518369642
KNN,M5,neg_root_mean_squared_error,-0.2401054067498451,42.081661878497215,3.216701027213664,6.487037989598736
KNN,geral,r2,0.3006244308460313,214.19804414208343,5.708862397420636,14.635506282397047
KNN,geral,neg_mean_squared_error,0.3006244308460313,214.19804414208343,5.708862397420636,14.635506282397047
KNN,geral,neg_mean_absolute_error,0.3006244308460313,214.19804414208343,5.708862397420636,14.635506282397047
KNN,geral,neg_root_mean_squared_error,0.3006244308460313,214.19804414208343,5.708862397420636,14.635506282397047
decisionTree,F7,r2,0.7654950325331488,49.30018991922191,2.8707467853610287,7.02140939692466
decisionTree,F7,neg_mean_squared_error,0.758007700460519,50.874258465215966,3.040509396636993,7.132619327092675
decisionTree,F7,neg_mean_absolute_error,0.6456747214839267,74.49012152159578,3.02042037586548,8.630765986955954
decisionTree,F7,neg_root_mean_squared_error,0.7750756109521841,47.28605631388065,2.82455984174085,6.876485753194044
decisionTree,G4,r2,-0.0531151761796042,18.81330968543046,1.493344370860927,4.3374312312047625
decisionTree,G4,neg_mean_squared_error,0.3766879868554137,11.1351181705298,1.5157533112582782,3.3369324492008827
decisionTree,G4,neg_mean_absolute_error,0.3879703127981597,10.93356576986755,1.4056208609271523,3.306594285646117
decisionTree,G4,neg_root_mean_squared_error,0.5018663025534658,8.898878039919058,1.3123040838852098,2.9830987311718427
decisionTree,M5,r2,0.1827291655621785,27.733219072164943,2.7397938144329896,5.266233860375453
decisionTree,M5,neg_mean_squared_error,-0.7322498179734331,58.78206056701031,3.630567010309278,7.666945973920145
decisionTree,M5,neg_mean_absolute_error,-0.5559887408480233,52.80082783505155,3.0955670103092783,7.266417813135407
decisionTree,M5,neg_root_mean_squared_error,0.0155137945229693,33.40749536082475,2.825463917525773,5.7799217434862165
decisionTree,geral,r2,-0.9091856319145468,584.7270712572373,3.2887427626137304,24.18113047930633
decisionTree,geral,neg_mean_squared_error,0.7298882207645732,82.7272460803235,2.755646539840088,9.095451944808651
decisionTree,geral,neg_mean_absolute_error,0.7453222374248607,78.0002634293723,2.612912875654811,8.831775780066673
decisionTree,geral,neg_root_mean_squared_error,-0.8997979128772493,581.8518906741109,3.290955334987593,24.12160630377071
RandomForest,F7,r2,0.7576732310770229,50.94457426409495,3.2834302670623146,7.137546795930304
RandomForest,F7,neg_mean_squared_error,0.8310610811752295,35.51618062839763,3.06023471810089,5.959545337389223
RandomForest,F7,neg_mean_absolute_error,0.8444504242270556,32.70132701365726,2.8897105341246285,5.718507411349334
RandomForest,F7,neg_root_mean_squared_error,0.8387596568575522,33.897702148620176,2.941322551928784,5.822173318325398
RandomForest,G4,r2,0.7388027511779283,4.666141787927301,1.0667272039577422,2.160125410231383
RandomForest,G4,neg_mean_squared_error,0.7405228483253299,4.635413220857849,1.0681432294623148,2.153000980226867
RandomForest,G4,neg_mean_absolute_error,0.7182937911770629,5.03252281115223,1.0904935469883317,2.2433285116434085
RandomForest,G4,neg_root_mean_squared_error,0.7293300385934793,4.835366464812898,1.0795505045129632,2.1989466716618886
RandomForest,M5,r2,0.5721325140177048,14.519229394458762,2.1806733676975947,3.810410659556101
RandomForest,M5,neg_mean_squared_error,0.5433462648047038,15.496060234432692,2.2323036597938146,3.936503554479875
RandomForest,M5,neg_mean_absolute_error,0.5131274709079887,16.52150295907205,2.321356254295533,4.064665171828062
RandomForest,M5,neg_root_mean_squared_error,0.5993863344554596,13.594399899871917,2.1445487714776634,3.687058434561611
RandomForest,geral,r2,0.7353037386416171,81.06863318556287,2.313156954482197,9.003812147394173
RandomForest,geral,neg_mean_squared_error,0.7242008140144863,84.46913049241807,2.3822496502867594,9.19070892218974
RandomForest,geral,neg_mean_absolute_error,0.7043535463416875,90.54776135197272,2.344587014061208,9.515658745035612
RandomForest,geral,neg_root_mean_squared_error,0.6506856240912002,106.98465804416044,2.4817148883374687,10.343338824778025
