dimensions	qtd	punit
Filtros F7.592.592.535.25.6	4	15.5
Filtros F7.592.435.535.25.6	3	15.5
Filtros F7.287.592.535.25.3	5	12.5
Filtros F7.287.435.535.25.3	3	12.5
Filtros F7.287.287.535.25.3	3	11.5
Filtros MV/G4.445.550.97	12	9.95
Filtros MV/G4.465.550.97	12	9.95
Filtros MV/G4.745.460.97	12	12.5
