dimensions	qtd	punit
Filtros MV/G4.592.592.48 	4	8.15
Filtros F9.592.592.500.25.10	36	19.5
Filtros G4.592.592.300.25.4	8	11.5
Filtros F7.592.592.635.25.8	12	15.5
Filtros M5.592.592.500.25.8	12	14.5
Filtros M5.492.492.500.25.5	12	14
Filtros F7.492.492.635.25.5	12	14.75
