dimensions	qtd	punit
Filtros MV/G4.592.592.48	3	7.5
Filtros F9/RG.592.592.292	3	48.5
Filtros MV/G4.625.500.48	120	7.25
Filtros F7/PL.625.500.98	60	42.5
Filtros M6/PL.490.592.96	2	44.5
Filtros M6/PL.592.592.96	2	45.5
Filtros F9/RG.592.287.292	1	32.5
Filtros MCA.287.592.48	1	24.5
