dimensions	qtd	punit
Filtros MV/G4.592.592.48	60	8.5
Filtros MV/G4.592.287.48	20	6.5
Filtros MV/G4.625.500.48	7	8.5
Filtros MV/G4.592.490.98	1	12.5
Filtros MV/G4.592.287.98	1	10.5
Filtros MV/G4.625.400.48	6	7.75
Filtros MP/G4.615.515.20	2	7.15
Filtros MV/G4.650.315.198	1	32.5
Filtros MV/G4.615.565.48	2	8.75
Filtros F7/RG.592.592.292	50	52.5
Filtros F7/RG.592.287.292	40	37.5
Filtros F7/RG.592.490.292	6	49.5
