dimensions	qtd	punit
Filtros MV/G4.540.475.48	2	8.5
Filtro F7/PL.540.475.48	1	34.5
Filtros MV/G4.287.287.48	2	5.5
Filtros MV/G4.395.395.48	1	7.25
Filtros MV/G4.490.490.48	1	7.5
Filtros F7/PL.287.287.48	2	12.5
Filtros F7/PL.395.395.48	1	17.5
Filtros F7/PL.490.490.48	1	21.5
Filtros F7/PL.625.500.48	24	35.5
