dimensions	qtd	punit
Filtros F7.592.592.535.25.8	210	15.5
Filtros F7.287.592.535.25.3	110	12.5
Filtros F7.287.287.535.25.3	0
Rolos G4 20.2 mts	4	95
Estrut. 592.592.100 + Rede	54	6.99
Estrut. 592.287.100 + Rede	22	5.25
