dimensions	qtd	punit
Filtros F7.592.592.550.25.8	102	15.5
Filtros.F7.287.592.550.25.4	10	12.5
Filtros MV/G4.592.592.45	66	8
Filtros MV/G4.287.592.45	12	6.5
