dimensions	qtd	punit
MV/G4.592.592.45	186	7.75
G3.592.592.600.25.4	135	14.5
G4.592.287.600.25.4	88	14.4
G4.592.592.600.25.4	264	14.5
M5.592.287.600.25.4	88	14.05
M5.592.592.600.25.6	336	14.5
