dimensions	qtd	punit
Filtros MV/G4.785.385.98	1	12.75
Filtros MV/G4.790.390.48	1	10.5
Filtros F7.790.390.250.25.12	1	27.5
Filtros MV/G4.592.287.48	1	6.5
Filtros F7.592.287.320.25.10	1	25.5
Filtros MV/G4.592.592.48	2	8.5
Filtros F7.592.592.300.25.6	2	14.5
Filtros MV/G4.450.330.98	1	9.5
Filtros F7/PL.450.330.98	1	32.5
Filtros MV/G4.395.390.48	2	7.5
Filtros F7.395.390.350.25.6	2	15.5
Filtros MV/G4.790.390.48	1	10.5
Filtros F7.790.390.350.25.12	1	27.75
