dimensions	qtd	punit
Filtros F7.592.592.380.25.8 	112	12.95
Filtros F7.287.592.380.25.4 	2	9.5
Filtros MV/G4.592.592.45	38	7.5
Filtros MV/G4.287.592.45	4	5.75
