dimensions	qtd	punit
Filtros MV/G4.592.592.48 	84	7.5
Filtros MV/G4.287.592.48 	41	5.75
Filtros MV/G4.490.592.48	2	6.5
Filtros M5.592.592.360.25.6 	16	12.99
Filtros M5.287.592.360.25.3 	8	10.5
Filtros MP/G4.420.660.20	8	7.4
Filtros MV/M5.287.592.48	2	7.25
Filtros MV/M5.592.592.45	2	8.95
Filtros MV/M5.292.594.45	2	7
Filtros F7.592.592.599.25.7	24	15.5
