df_name,scoring_metric,model,r2,mse,mae,rmse,percentError,best_params
no_CnQ,r2,geral,0.3695117999189038,193.09988119173497,4.181275769104335,13.896038327226035,38.26667403523986,"{'n_neighbors': 20, 'p': 1, 'weights': 'distance'}"
no_CnQ,r2,G4,0.4027358334386967,10.669788057077604,1.4149342108926768,3.2664641521188633,19.69400342076234,"{'n_neighbors': 20, 'p': 1, 'weights': 'distance'}"
no_CnQ,r2,F7,0.7748480875662509,47.33388875964392,3.687477744807121,6.879962845804032,14.418867375552601,"{'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}"
no_CnQ,r2,M5,0.6046907138302264,13.414401410945695,2.0611300046179704,3.6625675981400936,16.515809821672427,"{'n_neighbors': 20, 'p': 1, 'weights': 'distance'}"
no_CnQ,neg_mean_squared_error,geral,0.3695117999189038,193.09988119173497,4.181275769104335,13.896038327226035,38.26667403523986,"{'n_neighbors': 20, 'p': 1, 'weights': 'distance'}"
no_CnQ,neg_mean_squared_error,G4,0.19615055949778626,14.360317662015136,1.821283112582781,3.7895009779673017,21.723028799314413,"{'n_neighbors': 7, 'p': 3, 'weights': 'uniform'}"
no_CnQ,neg_mean_squared_error,F7,0.7748480875662509,47.33388875964392,3.687477744807121,6.879962845804032,14.418867375552601,"{'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}"
no_CnQ,neg_mean_squared_error,M5,0.6046907138302264,13.414401410945695,2.0611300046179704,3.6625675981400936,16.515809821672427,"{'n_neighbors': 20, 'p': 1, 'weights': 'distance'}"
no_CnQ,neg_mean_absolute_error,geral,0.43480845830266013,173.10144668574605,3.9548143723748317,13.156802297129271,34.3145247771709,"{'n_neighbors': 5, 'p': 1, 'weights': 'distance'}"
no_CnQ,neg_mean_absolute_error,G4,0.4027358334386967,10.669788057077604,1.4149342108926768,3.2664641521188633,19.69400342076234,"{'n_neighbors': 20, 'p': 1, 'weights': 'distance'}"
no_CnQ,neg_mean_absolute_error,F7,0.8159256044728659,38.69812548869133,3.2544124675865884,6.220781742569926,13.489616338569228,"{'n_neighbors': 5, 'p': 1, 'weights': 'distance'}"
no_CnQ,neg_mean_absolute_error,M5,0.6026614037414095,13.483263896779077,2.080472620548452,3.6719564127014195,16.522420574020476,"{'n_neighbors': 20, 'p': 2, 'weights': 'distance'}"
Vocab,r2,geral,0.3695117999189038,193.09988119173497,4.181275769104335,13.896038327226035,38.26667403523986,"{'n_neighbors': 20, 'p': 1, 'weights': 'distance'}"
Vocab,r2,G4,0.4027358334386967,10.669788057077604,1.4149342108926768,3.2664641521188633,19.69400342076234,"{'n_neighbors': 20, 'p': 1, 'weights': 'distance'}"
Vocab,r2,F7,0.7748480875662509,47.33388875964392,3.687477744807121,6.879962845804032,14.418867375552601,"{'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}"
Vocab,r2,M5,0.6046907138302264,13.414401410945695,2.0611300046179704,3.6625675981400936,16.515809821672427,"{'n_neighbors': 20, 'p': 1, 'weights': 'distance'}"
Vocab,neg_mean_squared_error,geral,0.3695117999189038,193.09988119173497,4.181275769104335,13.896038327226035,38.26667403523986,"{'n_neighbors': 20, 'p': 1, 'weights': 'distance'}"
Vocab,neg_mean_squared_error,G4,0.19615055949778626,14.360317662015136,1.821283112582781,3.7895009779673017,21.723028799314413,"{'n_neighbors': 7, 'p': 3, 'weights': 'uniform'}"
Vocab,neg_mean_squared_error,F7,0.7748480875662509,47.33388875964392,3.687477744807121,6.879962845804032,14.418867375552601,"{'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}"
Vocab,neg_mean_squared_error,M5,0.6046907138302264,13.414401410945695,2.0611300046179704,3.6625675981400936,16.515809821672427,"{'n_neighbors': 20, 'p': 1, 'weights': 'distance'}"
Vocab,neg_mean_absolute_error,geral,0.43480845830266013,173.10144668574605,3.9548143723748317,13.156802297129271,34.3145247771709,"{'n_neighbors': 5, 'p': 1, 'weights': 'distance'}"
Vocab,neg_mean_absolute_error,G4,0.4027358334386967,10.669788057077604,1.4149342108926768,3.2664641521188633,19.69400342076234,"{'n_neighbors': 20, 'p': 1, 'weights': 'distance'}"
Vocab,neg_mean_absolute_error,F7,0.8159256044728659,38.69812548869133,3.2544124675865884,6.220781742569926,13.489616338569228,"{'n_neighbors': 5, 'p': 1, 'weights': 'distance'}"
Vocab,neg_mean_absolute_error,M5,0.6026614037414095,13.483263896779077,2.080472620548452,3.6719564127014195,16.522420574020476,"{'n_neighbors': 20, 'p': 2, 'weights': 'distance'}"
