model,filter,scoring_metric,r2,mse,mae,rmse
KNN,F7,r2,0.7891500412747161,44.32717618694362,3.394643916913947,6.657865738128369
KNN,F7,neg_mean_squared_error,0.7891500412747161,44.32717618694362,3.394643916913947,6.657865738128369
KNN,F7,neg_mean_absolute_error,0.8265023008871246,36.47457710260174,3.299196351080761,6.039418606339665
KNN,F7,neg_root_mean_squared_error,0.8178540604768065,38.292704451038574,3.4258160237388724,6.18810992557813
KNN,G4,r2,0.4071173294354355,10.591515098016131,1.426357256622244,3.2544607998893045
KNN,G4,neg_mean_squared_error,0.4089155779109814,10.559390401471042,1.4211862362408905,3.2495215650109235
KNN,G4,neg_mean_absolute_error,0.3998811625976989,10.720785144382422,1.408648686821649,3.274261007369819
KNN,G4,neg_root_mean_squared_error,0.4071173294354355,10.591515098016131,1.426357256622244,3.2544607998893045
KNN,M5,r2,0.6349398675380695,12.3879284583115,2.133321146180067,3.5196489112284337
KNN,M5,neg_mean_squared_error,0.6349398675380695,12.3879284583115,2.133321146180067,3.5196489112284337
KNN,M5,neg_mean_absolute_error,0.6349398675380695,12.3879284583115,2.133321146180067,3.5196489112284337
KNN,M5,neg_root_mean_squared_error,0.6349398675380695,12.3879284583115,2.133321146180067,3.5196489112284337
KNN,geral,r2,0.3537879576720228,197.9156288446804,3.938627887555784,14.068248961568756
KNN,geral,neg_mean_squared_error,0.3537879576720228,197.9156288446804,3.938627887555784,14.068248961568756
KNN,geral,neg_mean_absolute_error,0.3537879576720228,197.9156288446804,3.938627887555784,14.068248961568756
KNN,geral,neg_root_mean_squared_error,0.3537879576720228,197.9156288446804,3.938627887555784,14.068248961568756
decisionTree,F7,r2,0.8854212809076892,24.08798701780416,2.6999554896142435,4.90795140744121
decisionTree,F7,neg_mean_squared_error,0.805983225041931,40.78832084569733,3.048471810089021,6.386573482368878
decisionTree,F7,neg_mean_absolute_error,0.8193549963703576,37.97716135014837,3.135326409495549,6.162561265427579
decisionTree,F7,neg_root_mean_squared_error,0.8464605303834067,32.278740591133314,3.029072669249369,5.681438250226197
decisionTree,G4,r2,-0.0433450529035626,18.638771933991144,1.5529653313490024,4.317264403993708
decisionTree,G4,neg_mean_squared_error,0.3055948002604204,12.40515792134581,1.4814598056990476,3.522095671804758
decisionTree,G4,neg_mean_absolute_error,0.2061343540350195,14.181962793798284,1.5878979519753342,3.765894687029669
decisionTree,G4,neg_root_mean_squared_error,-0.3034518003902058,23.28543252954762,1.6691235048199182,4.825498163873614
decisionTree,M5,r2,-0.0547248135993549,35.790968041237115,2.8348453608247417,5.982555310336639
decisionTree,M5,neg_mean_squared_error,0.3780096890572963,21.10658159727878,2.550054294570061,4.594189982714992
decisionTree,M5,neg_mean_absolute_error,0.5173165263767616,16.379351804123715,2.3547938144329894,4.047141189052306
decisionTree,M5,neg_root_mean_squared_error,0.4873690610692999,17.395587280823676,2.530336572429659,4.170801755157355
decisionTree,geral,r2,-1.0349052749389092,623.2312782009186,3.579089723160421,24.964600501528533
decisionTree,geral,neg_mean_squared_error,0.6982111294003881,92.42900192307692,2.6927005789909013,9.614000308044352
decisionTree,geral,neg_mean_absolute_error,0.6188128643031935,116.74634133581472,2.8348428453267167,10.804922088373184
decisionTree,geral,neg_root_mean_squared_error,0.6688552584003413,101.41983664712065,2.9122321257864647,10.070741613561568
RandomForest,F7,r2,0.8584925562701222,29.749236983019284,2.855922403560831,5.454286111217424
RandomForest,F7,neg_mean_squared_error,0.8625455335545891,28.897175928531155,2.818951038575668,5.375609354159876
RandomForest,F7,neg_mean_absolute_error,0.8478293715575617,31.990967881735905,2.8805332344213648,5.65605585914212
RandomForest,F7,neg_root_mean_squared_error,0.793860149897046,43.33696582112759,3.1395988130563794,6.583081787516208
RandomForest,G4,r2,0.5179676047173647,8.611237342301326,1.359844536423841,2.934490985213845
RandomForest,G4,neg_mean_squared_error,0.5049421461676491,8.843929825548518,1.3842983824404709,2.973874547715239
RandomForest,G4,neg_mean_absolute_error,0.4791936573039923,9.303912081887418,1.3924291390728476,3.050231480049902
RandomForest,G4,neg_root_mean_squared_error,0.5341466278368145,8.322208203572021,1.334505380794702,2.884823773399689
RandomForest,M5,r2,0.6446523957139775,12.058344114545804,2.2295992069579693,3.4725126514594304
RandomForest,M5,neg_mean_squared_error,0.6455551766076764,12.02770920229381,2.1296365979381444,3.4680987878510336
RandomForest,M5,neg_mean_absolute_error,0.6642146420340558,11.394520030927833,2.091164948453608,3.3755769922974403
RandomForest,M5,neg_root_mean_squared_error,0.6486582663607872,11.92240914226804,2.1259938144329897,3.4528841773607235
RandomForest,geral,r2,0.6231866855171013,115.40676930789908,2.667121174524401,10.742754270106856
RandomForest,geral,neg_mean_squared_error,0.644205870039906,108.96921499113525,2.641259263854425,10.43883207026223
RandomForest,geral,neg_mean_absolute_error,0.6501192035654155,107.15813589230974,2.6502648883374693,10.351721397541075
RandomForest,geral,neg_root_mean_squared_error,0.6419655635717112,109.65535457754754,2.639979900744417,10.471645266028998
