model,r2,mse,mae,rmse
G4,0.5756102010591977,7.581484813252008,1.3619208693662228,2.753449620612661
F7,0.5366263260317032,97.41546363376654,5.255204034799639,9.869927235484896
M5,0.22892842876736463,26.165496068415067,2.8348926968918633,5.1152219960051655
geral,0.6902916947220734,94.85449044973227,3.4743358397424666,9.739327001889416
