scoring_metric,model,r2,mse,mae,rmse
r2,geral,0.35378795767202287,197.91562884468036,3.9386278875557834,14.068248961568756
r2,G4,0.40711732943543555,10.591515098016131,1.426357256622244,3.2544607998893045
r2,F7,0.7891500412747161,44.32717618694362,3.394643916913947,6.657865738128369
r2,M5,0.6349398675380695,12.3879284583115,2.133321146180067,3.5196489112284337
neg_mean_squared_error,geral,0.35378795767202287,197.91562884468036,3.9386278875557834,14.068248961568756
neg_mean_squared_error,G4,0.40891557791098143,10.559390401471042,1.4211862362408905,3.2495215650109235
neg_mean_squared_error,F7,0.7891500412747161,44.32717618694362,3.394643916913947,6.657865738128369
neg_mean_squared_error,M5,0.6349398675380695,12.3879284583115,2.133321146180067,3.5196489112284337
neg_mean_absolute_error,geral,0.35378795767202287,197.91562884468036,3.9386278875557834,14.068248961568756
neg_mean_absolute_error,G4,0.3998811625976989,10.720785144382422,1.408648686821649,3.274261007369819
neg_mean_absolute_error,F7,0.8265023008871246,36.47457710260174,3.299196351080761,6.039418606339665
neg_mean_absolute_error,M5,0.6349398675380695,12.3879284583115,2.133321146180067,3.5196489112284337
neg_root_mean_squared_error,geral,0.35378795767202287,197.91562884468036,3.9386278875557834,14.068248961568756
neg_root_mean_squared_error,G4,0.40711732943543555,10.591515098016131,1.426357256622244,3.2544607998893045
neg_root_mean_squared_error,F7,0.8178540604768065,38.292704451038574,3.4258160237388724,6.18810992557813
neg_root_mean_squared_error,M5,0.6349398675380695,12.3879284583115,2.133321146180067,3.5196489112284337
