dimensions	qtd	punit
MV/G4.592.592.48	6	8.5
F7.592.592.500.25.6	6	17.5
MV/G4.287.592.48	2	6.5
MV/G4.592.592.48	4	8.5
MV/G4.287.592.48	1	6.5
MV/G4.592.592.48	1	8.5
TPCGALV.592.592.47	2	18.5
F7.592.592.24	2	32.5
Cilindros CA	13	62.5
