dimensions	qtd	punit
Filtros PL/F7 513.232.48	2	17.5
Filtros PL/F7 528.265.48	6	18.5
Filtros MV/G4 513.232.48	2	4.95
Filtros MV/G4.528.265.48	6	5.25
