dimensions	qtd	punit
Filtros MV/G4.592.592.48	1	7.5
Filtros MV/G4.490.592.48	8	7.25
Filtros MV/G4.287.592.48	2	6.5
Filtros F7/RG.592.592.292	1	52.5
Filtros F7/RG.490.592.292	12	49.5
Filtros F7/RG.287.592.292	3	37.5
