dimensions	qtd	punit
Filtros MV/G4.500.530.48	18	8.5
Filtros F7/PL.500.530.98	18	47.5
Filtros MV/G4.625.500.48	8	8.5
Filtros F7/PL.625.500.48	8	37.5
Filtro MV/G4.592.592.48	1	8.5
