dimensions	qtd	punit
Filtros F7.592.592.500.25.8	142	14.5
Filtros F7.287.592.500.25.4	75	12.5
Filtros F7/RG.592.592.292	34	52.5
Filtros F7/RG.592.287.292	16	37.5
Filtros F7.287.287.500.25.4	20	12
Rolos G4 20.2 mts	2	110
