dimensions	qtd	punit
Filtros MV/G4.495.490.45	1	7.25
Filtros MV/G4.495.390.45	7	6.75
Filtros MV/G4.592.592.45	6	7.5
Filtros M6.592.592.360.25.6	3	14.25
Filtros M6.592.490.360.25.5	3	12.95
Filtros M6.287.490.360.25.3	1	11.95
