dimensions	qtd	punit
Filtros G4.592.592.360.25.4	32	11.5
Filtros G4.592.892.360.25.6	16	14
Filtros F7.592.592.360.25.8	16	15.5
Filtros F7.592.892.380.25.6	8	25.5
Filtros F7.287.892.380.25.12	2	14.99
Filtros F7.592.892.380.25.12	4	32.5
Filtros F7.592.592.380.25.12	1	20.5
Filtros F7/PL.430.490.96	1	48.5
Filtros MV/G4.430.490.48	1	8.5
Rolo manta G4 . 20.2 mts	1	110
