dimensions	qtd	punit
Filtros MV/G4.380.600.30	4	8.75
Filtros MV/G4.380.1220.30	2	14.5
Filtros MV/G4.430.1220.30	2	14.75
Filtros MV/M5.380.570.90	8	12.75
Filtros MV/M5.380.1150.90	2	14.5
Filtros MV/M5.430.570.90	4	12.9
