dimensions	qtd	punit
1000.370.100	40	11.5
390.390.45	2	6.5	
287.287.23	2	5.5	
1185.285.20	2	10.5
110.320.10	2	10.5
115.325.10	2	10.5
900.225.12	2	7
1320.320.45	1	12
953.248.15	2	7
1063.293.15	2	8
418.303.15	3	5	
637.245.20 	2	6	
1260.257.20 	2	7	
945.260.20	2	7
323.323.15	2	5
1185.260.15 	2	7	
210.260.40 	2	5	

