dimensions	qtd	punit
Filtros M5.592.592.360.25.6 	55	12.5
Filtros M5.287.592.360.25.3 	39	9.9
Filtros F7.592.592.635.25.7	29	15.5
Filtros F7.287.592.635.25.4	18	12
Filtros M5.287.287.360.25.3	8	9.5
Filtros F7.287.287.635.25.3	4	10.5
