dimensions	qtd	punit
Filtros MV/G4.800.500.48	60	9.5
Filtros MV/G4.495.395.48	16	7.25
Filtros MV/G4.1860.330.48	3	17.5
Filtros MP/G4.600.620.20	2	8
Filtros MP/G4.1050.280.10	1	10.5
Filtros MV/G4.620.400.48	3	7.5
