dimensions	qtd	punit
Filtro simples/liso	1300x180x10	40	7.15
Filtro simples/liso	1060x190x10	45	6.9
Filtro simples/liso	1255x190x10	25	7.05
Filtro simples/liso	1455x190x10	15	7.5
Filtro simples/liso	1190x250x20	11	6.99
Filtro simples/liso	1085x230x3	1	10.5
Filtro simples/liso	960x200x10	1	9.5
Filtro simples/liso	1665x190x10	1	17.5
