dimensions	qtd	punit
Filtros MV/G3.600.300.48	6	6.5
Filtros MV/G3.700.350.48	4	6.75
Filtros MV/G3.592.592.48	2	7.75
Filtros F7.592.287.380.25.7	20	14
Filtros F7.592.592.380.25.7	4	14.5
