company_name,quote_id,unit_price,Length,Height,Gutter,_F7,_F8,_F9,_G2,_G3,_G4,_H13,_H14,_M5,_M6
181,17171.0,7.5,625.0,500.0,50.0,0,0,0,0,0,1,0,0,0,0
181,17171.0,27.5,625.0,500.0,50.0,1,0,0,0,0,0,0,0,0,0
181,17175.0,28.5,592.0,490.0,48.0,1,0,0,0,0,0,0,0,0,0
181,18643.0,27.5,592.0,592.0,45.0,1,0,0,0,0,0,0,0,0,0
181,18643.0,17.5,287.0,592.0,45.0,1,0,0,0,0,0,0,0,0,0
181,18643.0,25.5,592.0,490.0,48.0,1,0,0,0,0,0,0,0,0,0
181,18643.0,7.5,490.0,592.0,48.0,0,0,0,0,0,1,0,0,0,0
181,18643.0,7.5,592.0,490.0,48.0,0,0,0,0,0,1,0,0,0,0
181,18674.0,14.0,592.0,592.0,25.0,1,0,0,0,0,0,0,0,0,0
181,18674.0,11.5,287.0,592.0,25.0,1,0,0,0,0,0,0,0,0,0
181,18691.0,37.5,800.0,500.0,48.0,1,0,0,0,0,0,0,0,0,0
181,18691.0,27.5,625.0,500.0,48.0,1,0,0,0,0,0,0,0,0,0
181,18691.0,8.95,800.0,500.0,48.0,0,0,0,0,0,1,0,0,0,0
181,18691.0,6.5,500.0,400.0,48.0,0,0,0,0,0,1,0,0,0,0
181,18691.0,6.75,500.0,500.0,48.0,0,0,0,0,0,1,0,0,0,0
181,18697.0,6.5,435.0,480.0,50.0,0,0,0,0,0,1,0,0,0,0
181,18697.0,6.75,500.0,530.0,50.0,0,0,0,0,0,1,0,0,0,0
181,18698.0,8.95,800.0,500.0,50.0,0,0,0,0,0,1,0,0,0,0
181,18698.0,6.95,530.0,500.0,50.0,0,0,0,0,0,1,0,0,0,0
181,18722.0,6.5,438.0,480.0,50.0,0,0,0,0,0,1,0,0,0,0
181,18722.0,6.75,500.0,530.0,50.0,0,0,0,0,0,1,0,0,0,0
60,18755.0,8.5,592.0,592.0,48.0,0,0,0,0,0,1,0,0,0,0
60,18755.0,7.5,592.0,287.0,48.0,0,0,0,0,0,1,0,0,0,0
60,18755.0,7.5,287.0,592.0,48.0,0,0,0,0,0,1,0,0,0,0
60,18755.0,11.5,392.0,792.0,48.0,0,0,0,0,0,1,0,0,0,0
60,18755.0,12.5,592.0,592.0,98.0,0,0,0,0,0,1,0,0,0,0
60,18755.0,10.5,592.0,287.0,98.0,0,0,0,0,0,1,0,0,0,0
60,18755.0,10.5,287.0,592.0,98.0,0,0,0,0,0,1,0,0,0,0
60,18755.0,14.5,392.0,792.0,98.0,0,0,0,0,0,1,0,0,0,0
60,18755.0,17.5,592.0,592.0,25.0,1,0,0,0,0,0,0,0,0,0
60,18755.0,17.5,592.0,287.0,25.0,1,0,0,0,0,0,0,0,0,0
60,18755.0,12.95,287.0,592.0,25.0,1,0,0,0,0,0,0,0,0,0
60,18755.0,22.5,392.0,792.0,25.0,1,0,0,0,0,0,0,0,0,0
71,17085.0,55.5,592.0,592.0,292.0,1,0,0,0,0,0,0,0,0,0
71,17085.0,20.5,892.0,287.0,25.0,1,0,0,0,0,0,0,0,0,0
71,17085.0,19.5,592.0,592.0,25.0,0,0,1,0,0,0,0,0,0,0
71,17085.0,11.0,287.0,592.0,25.0,0,0,1,0,0,0,0,0,0,0
71,17085.0,24.5,392.0,792.0,25.0,0,0,0,0,0,0,0,0,1,0
71,17085.0,14.0,387.0,387.0,25.0,1,0,0,0,0,0,0,0,0,0
71,17106.0,8.0,592.0,592.0,48.0,0,0,0,0,0,1,0,0,0,0
71,17106.0,8.0,592.0,592.0,48.0,0,0,0,0,0,1,0,0,0,0
71,17106.0,6.0,287.0,592.0,48.0,0,0,0,0,0,1,0,0,0,0
71,17112.0,45.5,580.0,430.0,48.0,1,0,0,0,0,0,0,0,0,0
71,17116.0,15.5,490.0,592.0,25.0,1,0,0,0,0,0,0,0,0,0
71,17116.0,8.5,535.0,473.0,48.0,0,0,0,0,0,1,0,0,0,0
71,17116.0,16.0,440.0,515.0,25.0,1,0,0,0,0,0,0,0,0,0
71,17144.0,5.75,222.0,893.0,10.0,0,0,0,0,0,1,0,0,0,0
71,17144.0,5.95,222.0,1193.0,10.0,0,0,0,0,0,1,0,0,0,0
71,17144.0,5.85,222.0,1134.0,10.0,0,0,0,0,0,1,0,0,0,0
71,17152.0,12.5,287.0,592.0,25.0,1,0,0,0,0,0,0,0,0,0
71,17152.0,14.0,592.0,592.0,25.0,1,0,0,0,0,0,0,0,0,0
71,17157.0,7.5,490.0,490.0,45.0,0,0,0,1,0,0,0,0,0,0
71,17157.0,7.5,490.0,490.0,45.0,0,0,0,0,0,1,0,0,0,0
71,17157.0,19.5,592.0,592.0,25.0,0,0,1,0,0,0,0,0,0,0
71,17157.0,11.5,287.0,592.0,25.0,0,0,1,0,0,0,0,0,0,0
71,17158.0,7.0,490.0,490.0,45.0,0,0,0,0,0,1,0,0,0,0
71,17158.0,7.0,490.0,490.0,45.0,0,0,0,0,0,1,0,0,0,0
71,17158.0,19.25,592.0,592.0,25.0,0,0,1,0,0,0,0,0,0,0
71,17158.0,11.25,287.0,592.0,25.0,0,0,1,0,0,0,0,0,0,0
71,17158.0,11.1,287.0,287.0,25.0,0,0,1,0,0,0,0,0,0,0
71,17159.0,7.0,490.0,490.0,45.0,0,0,0,0,0,1,0,0,0,0
71,17159.0,7.0,490.0,490.0,45.0,0,0,0,0,0,1,0,0,0,0
71,17159.0,19.5,592.0,592.0,25.0,0,0,1,0,0,0,0,0,0,0
71,17159.0,11.5,287.0,592.0,25.0,0,0,1,0,0,0,0,0,0,0
71,17160.0,7.0,490.0,490.0,45.0,0,0,0,1,0,0,0,0,0,0
71,17160.0,7.0,490.0,490.0,45.0,0,0,0,1,0,0,0,0,0,0
71,17160.0,19.25,592.0,592.0,25.0,0,0,1,0,0,0,0,0,0,0
71,17160.0,11.25,287.0,592.0,25.0,0,0,1,0,0,0,0,0,0,0
71,17160.0,11.15,287.0,287.0,25.0,0,0,1,0,0,0,0,0,0,0
71,17161.0,7.0,490.0,490.0,45.0,0,0,0,1,0,0,0,0,0,0
71,17161.0,7.0,490.0,490.0,45.0,0,0,0,0,0,1,0,0,0,0
