company_name,quote_id,qty,unit_price,Length,Height,Gutter,_F7,_F8,_F9,_G2,_G3,_G4,_H13,_H14,_M5,_M6
ANA,17157.0,6.0,19.5,592.0,592.0,25.0,0,0,1,0,0,0,0,0,0,0
ANA,17157.0,6.0,11.5,287.0,592.0,25.0,0,0,1,0,0,0,0,0,0,0
ANA,17158.0,16.0,7.0,490.0,490.0,45.0,0,0,0,0,0,1,0,0,0,0
ANA,17158.0,16.0,7.0,490.0,490.0,45.0,0,0,0,0,0,1,0,0,0,0
ANA,17158.0,18.0,19.25,592.0,592.0,25.0,0,0,1,0,0,0,0,0,0,0
ANA,17158.0,15.0,11.25,287.0,592.0,25.0,0,0,1,0,0,0,0,0,0,0
ANA,17158.0,3.0,11.1,287.0,287.0,25.0,0,0,1,0,0,0,0,0,0,0
ANA,17159.0,4.0,7.0,490.0,490.0,45.0,0,0,0,0,0,1,0,0,0,0
ANA,17159.0,4.0,7.0,490.0,490.0,45.0,0,0,0,0,0,1,0,0,0,0
ANA,17159.0,6.0,19.5,592.0,592.0,25.0,0,0,1,0,0,0,0,0,0,0
ANA,17159.0,6.0,11.5,287.0,592.0,25.0,0,0,1,0,0,0,0,0,0,0
ANA,17160.0,16.0,7.0,490.0,490.0,45.0,0,0,0,1,0,0,0,0,0,0
ANA,17160.0,16.0,7.0,490.0,490.0,45.0,0,0,0,1,0,0,0,0,0,0
ANA,17160.0,18.0,19.25,592.0,592.0,25.0,0,0,1,0,0,0,0,0,0,0
ANA,17160.0,15.0,11.25,287.0,592.0,25.0,0,0,1,0,0,0,0,0,0,0
ANA,17160.0,3.0,11.15,287.0,287.0,25.0,0,0,1,0,0,0,0,0,0,0
ANA,17161.0,12.0,7.0,490.0,490.0,45.0,0,0,0,1,0,0,0,0,0,0
ANA,17161.0,12.0,7.0,490.0,490.0,45.0,0,0,0,0,0,1,0,0,0,0
ANA,17161.0,36.0,19.25,592.0,592.0,25.0,0,0,1,0,0,0,0,0,0,0
ANA,17162.0,8.0,6.75,490.0,360.0,45.0,0,0,0,0,1,0,0,0,0,0
ANA,17162.0,8.0,6.85,490.0,360.0,35.0,0,0,0,0,0,1,0,0,0,0
ANA,17162.0,3.0,19.5,592.0,592.0,25.0,0,0,1,0,0,0,0,0,0,0
ANA,17162.0,6.0,11.5,287.0,592.0,25.0,0,0,1,0,0,0,0,0,0,0
ANA,17162.0,3.0,11.25,287.0,287.0,25.0,0,0,1,0,0,0,0,0,0,0
ANA,17163.0,16.0,6.75,490.0,490.0,45.0,0,0,0,1,0,0,0,0,0,0
ANA,17163.0,16.0,6.8,490.0,490.0,45.0,0,0,0,0,0,1,0,0,0,0
ANA,17163.0,12.0,9.5,580.0,580.0,100.0,0,0,0,0,0,1,0,0,0,0
