company_name,quote_id,description,qty,unit_price,filter_efficiency,dimensions,item_type,Length,Height,Gutter,Depth,Pockets
ANA,17144.0,Filtros MP/G4 222.1193.10,30.0,5.95,G4,222.1193.10,Filtro,222.0,1193.0,10.0,,
ANA,17144.0,Filtros MP/G4 222.1134.10,30.0,5.85,G4,222.1134.10,Filtro,222.0,1134.0,10.0,,
ANA,17152.0,Filtros F7 287.592.500.25.4,9.0,12.5,F7,287.592.500.25.4,Filtro,287.0,592.0,25.0,500.0,4.0
ANA,17152.0,Filtros F7 592.592.300.25.7,18.0,14.0,F7,592.592.300.25.7,Filtro,592.0,592.0,25.0,300.0,7.0
ANA,17157.0,Filtros MP/CA 490.490.22,6.0,15.5,,490.490.22,Filtro,490.0,490.0,22.0,,
ANA,17157.0,Filtros MV/G2 490.490.45,4.0,7.5,G2,490.490.45,Filtro,490.0,490.0,45.0,,
ANA,17157.0,Filtros MV/G4 490.490.45,4.0,7.5,G4,490.490.45,Filtro,490.0,490.0,45.0,,
ANA,17157.0,Filtros F9 592.592.500.25.10,6.0,19.5,F9,592.592.500.25.10,Filtro,592.0,592.0,25.0,500.0,10.0
ANA,17157.0,Filtros F9 287.592.500.25.05,6.0,11.5,F9,287.592.500.25.05,Filtro,287.0,592.0,25.0,500.0,5.0
ANA,17158.0,Filtros MP/CA 490.490.22,24.0,14.5,,490.490.22,Filtro,490.0,490.0,22.0,,
ANA,17158.0,Filtros MV/G4 490.490.45,16.0,7.0,G4,490.490.45,Filtro,490.0,490.0,45.0,,
ANA,17158.0,Filtros MV/G4 490.490.45,16.0,7.0,G4,490.490.45,Filtro,490.0,490.0,45.0,,
ANA,17158.0,Filtros F9 592.592.500.25.10,18.0,19.25,F9,592.592.500.25.10,Filtro,592.0,592.0,25.0,500.0,10.0
ANA,17158.0,Filtros F9 287.592.500.25.05,15.0,11.25,F9,287.592.500.25.05,Filtro,287.0,592.0,25.0,500.0,5.0
ANA,17158.0,Filtros F9 287.287.500.25.05,3.0,11.1,F9,287.287.500.25.05,Filtro,287.0,287.0,25.0,500.0,5.0
ANA,17159.0,Filtros MP/CA 490.490.22,6.0,14.5,,490.490.22,Filtro,490.0,490.0,22.0,,
ANA,17159.0,Filtros MV/G4 490.490.45,4.0,7.0,G4,490.490.45,Filtro,490.0,490.0,45.0,,
ANA,17159.0,Filtros MV/G4 490.490.45,4.0,7.0,G4,490.490.45,Filtro,490.0,490.0,45.0,,
ANA,17159.0,Filtros F9 592.592.500.25.10,6.0,19.5,F9,592.592.500.25.10,Filtro,592.0,592.0,25.0,500.0,10.0
ANA,17159.0,Filtros F9 287.592.500.25.05,6.0,11.5,F9,287.592.500.25.05,Filtro,287.0,592.0,25.0,500.0,5.0
ANA,17160.0,Filtros MP/CA 490.490.22,24.0,14.5,,490.490.22,Filtro,490.0,490.0,22.0,,
ANA,17160.0,Filtros MV/G2 490.490.45,16.0,7.0,G2,490.490.45,Filtro,490.0,490.0,45.0,,
ANA,17160.0,Filtros MV/G2 490.490.45,16.0,7.0,G2,490.490.45,Filtro,490.0,490.0,45.0,,
ANA,17160.0,Filtros F9 592.592.500.25.10,18.0,19.25,F9,592.592.500.25.10,Filtro,592.0,592.0,25.0,500.0,10.0
ANA,17160.0,Filtros F9 287.592.500.25.05,15.0,11.25,F9,287.592.500.25.05,Filtro,287.0,592.0,25.0,500.0,5.0
ANA,17160.0,Filtros F9 287.287.500.25.05,3.0,11.15,F9,287.287.500.25.05,Filtro,287.0,287.0,25.0,500.0,5.0
ANA,17161.0,Filtros MP/CA 490.490.22,18.0,14.5,,490.490.22,Filtro,490.0,490.0,22.0,,
ANA,17161.0,Filtros MV/G2 490.490.45,12.0,7.0,G2,490.490.45,Filtro,490.0,490.0,45.0,,
ANA,17161.0,Filtros MV/G4 490.490.45,12.0,7.0,G4,490.490.45,Filtro,490.0,490.0,45.0,,
ANA,17161.0,Filtros F9 592.592.500.25.10,36.0,19.25,F9,592.592.500.25.10,Filtro,592.0,592.0,25.0,500.0,10.0
ANA,17162.0,Filtros MP/CA 490.490.22,12.0,14.5,,490.490.22,Filtro,490.0,490.0,22.0,,
ANA,17162.0,Filtros MV/G3 490.360.45,8.0,6.75,G3,490.360.45,Filtro,490.0,360.0,45.0,,
ANA,17162.0,Filtros MV/G4 490.360.35,8.0,6.85,G4,490.360.35,Filtro,490.0,360.0,35.0,,
ANA,17162.0,Filtros F9 592.592.500.25.10,3.0,19.5,F9,592.592.500.25.10,Filtro,592.0,592.0,25.0,500.0,10.0
ANA,17162.0,Filtros F9 287.592.500.25.05,6.0,11.5,F9,287.592.500.25.05,Filtro,287.0,592.0,25.0,500.0,5.0
ANA,17162.0,Filtros F9 287.287.500.25.05,3.0,11.25,F9,287.287.500.25.05,Filtro,287.0,287.0,25.0,500.0,5.0
ANA,17163.0,Filtros MP/CA 490.490.22,24.0,14.5,,490.490.22,Filtro,490.0,490.0,22.0,,
ANA,17163.0,Filtros MV/G2 490.490.45,16.0,6.75,G2,490.490.45,Filtro,490.0,490.0,45.0,,
ANA,17163.0,Filtros MV/G4 490.490.45,16.0,6.8,G4,490.490.45,Filtro,490.0,490.0,45.0,,
ANA,17163.0,Filtros MV/G4 580.580.100,12.0,9.5,G4,580.580.100,Filtro,580.0,580.0,100.0,,
ANA,17163.0,Filtros MV/G4 580.280.100,10.0,8.25,G4,580.280.100,Filtro,580.0,280.0,100.0,,
ANA,17163.0,Filtros F9 592.592.500.25.10,18.0,19.5,F9,592.592.500.25.10,Filtro,592.0,592.0,25.0,500.0,10.0
ANA,17163.0,Filtros F9 287.592.500.25.05,15.0,11.5,F9,287.592.500.25.05,Filtro,287.0,592.0,25.0,500.0,5.0
ANA,17163.0,Filtros F9 287.287.500.25.05,3.0,11.25,F9,287.287.500.25.05,Filtro,287.0,287.0,25.0,500.0,5.0
ANA,17178.0,Filtros MP/CA.490.490.22,6.0,15.5,,490.490.22,Filtro,490.0,490.0,22.0,,
ANA,17178.0,Filtros MP/CA.490.490.22,6.0,15.5,,490.490.22,Filtro,490.0,490.0,22.0,,
ANA,17178.0,Filtros MP/CA.490.490.22,18.0,15.5,,490.490.22,Filtro,490.0,490.0,22.0,,
ANA,17178.0,Filtros MP/CA.490.490.22,18.0,15.5,,490.490.22,Filtro,490.0,490.0,22.0,,
ANA,17178.0,Filtros MP/CA.490.490.22,18.0,15.5,,490.490.22,Filtro,490.0,490.0,22.0,,
ANA,17178.0,Filtros MP/CA.490.490.22,12.0,15.5,,490.490.22,Filtro,490.0,490.0,22.0,,
ANA,17178.0,Filtros MP/CA.490.490.22,12.0,15.5,,490.490.22,Filtro,490.0,490.0,22.0,,
ANA,17178.0,Filtros MP/CA.490.490.22,6.0,15.5,,490.490.22,Filtro,490.0,490.0,22.0,,
ANA,17178.0,Filtros MP/CA.490.490.22,12.0,15.5,,490.490.22,Filtro,490.0,490.0,22.0,,
ANA,17178.0,Filtros MP/CA.490.490.22,18.0,15.5,,490.490.22,Filtro,490.0,490.0,22.0,,
ANA,17178.0,Filtros MP/CA.490.490.22,12.0,15.5,,490.490.22,Filtro,490.0,490.0,22.0,,
ANA,17178.0,Filtros MP/CA.490.490.22,6.0,15.5,,490.490.22,Filtro,490.0,490.0,22.0,,
ANA,17178.0,Filtros MP/CA.490.490.22,12.0,15.5,,490.490.22,Filtro,490.0,490.0,22.0,,
ANA,17178.0,Filtros MP/CA.490.490.22,12.0,15.5,,490.490.22,Filtro,490.0,490.0,22.0,,
ANA,17178.0,Filtros MP/CA.490.490.22,6.0,15.5,,490.490.22,Filtro,490.0,490.0,22.0,,
ANA,17178.0,Filtros MP/CA.490.360.22,12.0,14.5,,490.360.22,Filtro,490.0,360.0,22.0,,
ANA,17178.0,Filtros MP/CA.490.360.22,12.0,14.5,,490.360.22,Filtro,490.0,360.0,22.0,,
ANA,17178.0,Filtros MP/CA.490.360.22,12.0,14.5,,490.360.22,Filtro,490.0,360.0,22.0,,
ANA,17178.0,Filtros MP/CA.490.360.22,12.0,14.5,,490.360.22,Filtro,490.0,360.0,22.0,,
ANA,17179.0,F9.592.592.500.25.10,6.0,19.5,F9,592.592.500.25.10,,592.0,592.0,25.0,500.0,10.0
ANA,17179.0,F9.592.592.500.25.10,6.0,19.5,F9,592.592.500.25.10,,592.0,592.0,25.0,500.0,10.0
ANA,17179.0,F9.592.592.500.25.10,3.0,19.5,F9,592.592.500.25.10,,592.0,592.0,25.0,500.0,10.0
ANA,17179.0,F9.592.592.500.25.10,9.0,19.5,F9,592.592.500.25.10,,592.0,592.0,25.0,500.0,10.0
ANA,17179.0,F9.592.592.500.25.10,36.0,19.5,F9,592.592.500.25.10,,592.0,592.0,25.0,500.0,10.0
ANA,17179.0,F9.592.592.500.25.10,36.0,19.5,F9,592.592.500.25.10,,592.0,592.0,25.0,500.0,10.0
ANA,17179.0,F9.592.592.500.25.10,6.0,19.5,F9,592.592.500.25.10,,592.0,592.0,25.0,500.0,10.0
ANA,17179.0,F9.592.592.500.25.10,24.0,19.5,F9,592.592.500.25.10,,592.0,592.0,25.0,500.0,10.0
ANA,17179.0,F9.592.592.500.25.10,18.0,19.5,F9,592.592.500.25.10,,592.0,592.0,25.0,500.0,10.0
ANA,17179.0,F9.592.592.500.25.10,24.0,19.5,F9,592.592.500.25.10,,592.0,592.0,25.0,500.0,10.0
ANA,17179.0,F9.592.592.500.25.10,3.0,19.5,F9,592.592.500.25.10,,592.0,592.0,25.0,500.0,10.0
ANA,17179.0,F9.592.592.500.25.10,45.0,19.5,F9,592.592.500.25.10,,592.0,592.0,25.0,500.0,10.0
ANA,17179.0,F9.592.592.500.25.10,36.0,19.5,F9,592.592.500.25.10,,592.0,592.0,25.0,500.0,10.0
ANA,17179.0,F9.592.592.500.25.10,24.0,19.5,F9,592.592.500.25.10,,592.0,592.0,25.0,500.0,10.0
ANA,17179.0,F9.592.592.500.25.10,3.0,19.5,F9,592.592.500.25.10,,592.0,592.0,25.0,500.0,10.0
ANA,17179.0,F9.592.592.500.25.10,18.0,19.5,F9,592.592.500.25.10,,592.0,592.0,25.0,500.0,10.0
ANA,17179.0,F9.592.592.500.25.10,24.0,19.5,F9,592.592.500.25.10,,592.0,592.0,25.0,500.0,10.0
ANA,17179.0,F9.592.592.500.25.10,9.0,19.5,F9,592.592.500.25.10,,592.0,592.0,25.0,500.0,10.0
ANA,17179.0,F9.592.592.500.25.10,6.0,19.5,F9,592.592.500.25.10,,592.0,592.0,25.0,500.0,10.0
ANA,17180.0,Filtros MV/G2.490.360.45,32.0,6.85,G2,490.360.45,Filtro,490.0,360.0,45.0,,
ANA,17180.0,Filtros MV/G2.490.490.45,121.0,7.1,G2,490.490.45,Filtro,490.0,490.0,45.0,,
ANA,17180.0,Filtros MV/G4.490.360.35,32.0,6.9,G4,490.360.35,Filtro,490.0,360.0,35.0,,
ANA,17180.0,Filtros MV/G4 490.490.45,117.0,7.15,G4,490.490.45,Filtro,490.0,490.0,45.0,,
ANA,17181.0,Filtros F9.287.287.500.25.5,8.0,11.5,F9,287.287.500.25.5,Filtro,287.0,287.0,25.0,500.0,5.0
ANA,17181.0,Filtros F9.287.592.500.25.5,99.0,11.75,F9,287.592.500.25.5,Filtro,287.0,592.0,25.0,500.0,5.0
ANA,17182.0,Filtros MV/G4.580.280.100,4.0,8.0,G4,580.280.100,Filtro,580.0,280.0,100.0,,
ANA,17182.0,Filtros MV/G4.580.580.100,8.0,10.5,G4,580.580.100,Filtro,580.0,580.0,100.0,,
ANA,17183.0,Filtros MV/G4 590.525.100,2.0,11.5,G4,590.525.100,Filtro,590.0,525.0,100.0,,
ANA,17194.0,Filtros MV/G4.592.592.48,96.0,7.45,G4,592.592.48,Filtro,592.0,592.0,48.0,,
ANA,17195.0,Filtros MV/G4 1665.420.48,8.0,17.5,G4,1665.420.48,Filtro,1665.0,420.0,48.0,,
ANA,17196.0,Filtros MV/G2 490.490.45,164.0,7.1,G2,490.490.45,Filtro,490.0,490.0,45.0,,
ANA,17197.0,Filtros F9.592.592.500.25.10,268.0,19.75,F9,592.592.500.25.10,Filtro,592.0,592.0,25.0,500.0,10.0
ANA,17198.0,Filtros F9.287.500.25.5,46.0,11.85,F9,287.500.25.5,Filtro,,,,,
ANA,17199.0,Filtros MV/G4.490.490.45,144.0,7.25,G4,490.490.45,Filtro,490.0,490.0,45.0,,
ANA,17200.0,Filtros MP/CA.490.490.22,144.0,16.15,,490.490.22,Filtro,490.0,490.0,22.0,,
ANA,17201.0,Filtros MV/G4.592.592.48,24.0,7.6,G4,592.592.48,Filtro,592.0,592.0,48.0,,
ANA,18223.0,Filtros VC/G3.490.210.3,54.0,4.95,G3,490.210.3,Filtro,490.0,210.0,3.0,,
ANA,18223.0,Filtros VC/G3.850.200.3,18.0,5.15,G3,850.200.3,Filtro,850.0,200.0,3.0,,
ANA,18223.0,Filtros VC/G3.630.200.3,6.0,5.05,G3,630.200.3,Filtro,630.0,200.0,3.0,,
ANA,18223.0,Filtros VC/G3.785.210.3,12.0,5.1,G3,785.210.3,Filtro,785.0,210.0,3.0,,
ANA,18223.0,Filtros VC/G3.1060.200.3,8.0,8.5,G3,1060.200.3,Filtro,1060.0,200.0,3.0,,
ANA,18225.0,Filtros G4.592.592.300.25.4,171.0,10.5,G4,592.592.300.25.4,Filtro,592.0,592.0,25.0,300.0,4.0
ANA,18225.0,Filtros G4.287.592.300.25.2,45.0,8.95,G4,287.592.300.25.2,Filtro,287.0,592.0,25.0,300.0,2.0
ANA,18226.0,Filtros MV/G4.585.600.90,2.0,12.5,G4,585.600.90,Filtro,585.0,600.0,90.0,,
ANA,18226.0,Filtros F7.585.523.600.25.8,9.0,17.5,F7,585.523.600.25.8,Filtro,585.0,523.0,25.0,600.0,8.0
ANA,18226.0,Filtros MV/G4.535.473.48,2.0,8.1,G4,535.473.48,Filtro,535.0,473.0,48.0,,
ANA,18226.0,Filtros F7.287.592.534.25.4,3.0,14.0,F7,287.592.534.25.4,Filtro,287.0,592.0,25.0,534.0,4.0
ANA,18226.0,Filtros F7.592.592.534.25.8,3.0,15.5,F7,592.592.534.25.8,Filtro,592.0,592.0,25.0,534.0,8.0
ANA,18226.0,Filtros F7.825.663.750.25.9,3.0,48.5,F7,825.663.750.25.9,Filtro,825.0,663.0,25.0,750.0,9.0
ANA,18227.0,Filtros MV/M5.373.305.50,4.0,8.15,M5,373.305.50,Filtro,373.0,305.0,50.0,,
ANA,18227.0,Filtros MV/M5.373.305.50,4.0,8.15,M5,373.305.50,Filtro,373.0,305.0,50.0,,
ANA,18228.0,Filtros F7.592.592.635.25.8,10.0,17.5,F7,592.592.635.25.8,Filtro,592.0,592.0,25.0,635.0,8.0
ANA,18228.0,Filtros M5.592.592.500.25.8,10.0,14.75,M5,592.592.500.25.8,Filtro,592.0,592.0,25.0,500.0,8.0
ANA,18231.0,"Copo Filtr. 3/4"" Pentek 10 Clear",1.0,348.5,,,,,,,,
ANA,18250.0,Filtros MV/G4.592.592.98,6.0,9.95,G4,592.592.98,Filtro,592.0,592.0,98.0,,
ANA,18250.0,Filtros MV/G4.592.592.98,6.0,9.95,G4,592.592.98,Filtro,592.0,592.0,98.0,,
ANA,18250.0,Filtros F7.592.592.600.25.6,24.0,16.5,F7,592.592.600.25.6,Filtro,592.0,592.0,25.0,600.0,6.0
ANA,18251.0,Filtros M6.287.892.360.25.3,30.0,16.25,M6,287.892.360.25.3,Filtro,287.0,892.0,25.0,360.0,3.0
ANA,18251.0,Filtros F7.592.592.534.25.8,6.0,15.5,F7,592.592.534.25.8,Filtro,592.0,592.0,25.0,534.0,8.0
ANA,18251.0,Filtros F7.592.287.520.25.10,6.0,18.95,F7,592.287.520.25.10,Filtro,592.0,287.0,25.0,520.0,10.0
ANA,18251.0,Filtros F7.715.583.600.25.8,3.0,22.5,F7,715.583.600.25.8,Filtro,715.0,583.0,25.0,600.0,8.0
ANA,18251.0,Filtros M6.287.592.360.25.3,16.0,11.5,M6,287.592.360.25.3,Filtro,287.0,592.0,25.0,360.0,3.0
ANA,18252.0,Filtros F7.592.287.600.25.8,4.0,17.5,F7,592.287.600.25.8,Filtro,592.0,287.0,25.0,600.0,8.0
ANA,18253.0,Filtros G4.592.592.300.25.4,6.0,11.5,G4,592.592.300.25.4,Filtro,592.0,592.0,25.0,300.0,4.0
ANA,18257.0,Filtros MV/G4.585.585.49,4.0,8.1,G4,585.585.49,Filtro,585.0,585.0,49.0,,
ANA,18257.0,Filtros M5.590.590.585.25.4,6.0,14.5,M5,590.590.585.25.4,Filtro,590.0,590.0,25.0,585.0,4.0
ANA,18258.0,Filtros MV/G4.495.795.45,8.0,8.5,G4,495.795.45,Filtro,495.0,795.0,45.0,,
ANA,18259.0,Filtros M5.590.590.570.25.6,6.0,14.5,M5,590.590.570.25.6,Filtro,590.0,590.0,25.0,570.0,6.0
ANA,18259.0,Filtros M5.285.590.570.25.3,6.0,12.5,M5,285.590.570.25.3,Filtro,285.0,590.0,25.0,570.0,3.0
ANA,18259.0,Filtros MV/G4.592.592.45,2.0,7.95,G4,592.592.45,Filtro,592.0,592.0,45.0,,
ANA,18259.0,Filtros MV/G4.287.592.45,2.0,5.95,G4,287.592.45,Filtro,287.0,592.0,45.0,,
ANA,18260.0,Filtros MP/G3.592.592.25,24.0,6.25,G3,592.592.25,Filtro,592.0,592.0,25.0,,
ANA,18260.0,Filtros MP/G3.592.287.25,24.0,5.25,G3,592.287.25,Filtro,592.0,287.0,25.0,,
ANA,18260.0,Filtros G4.592.592.300.25.4,24.0,10.5,G4,592.592.300.25.4,Filtro,592.0,592.0,25.0,300.0,4.0
ANA,18260.0,Filtros G4.287.592.300.25.2,24.0,8.5,G4,287.592.300.25.2,Filtro,287.0,592.0,25.0,300.0,2.0
ANA,18261.0,Filtros MP/G4.590.995.5,50.0,6.25,G4,590.995.5,Filtro,590.0,995.0,5.0,,
ANA,18262.0,Filtros MV/G4.535.473.48,2.0,8.0,G4,535.473.48,Filtro,535.0,473.0,48.0,,
ANA,18262.0,Filtros F7.535.473.500.25.8,3.0,17.5,F7,535.473.500.25.8,Filtro,535.0,473.0,25.0,500.0,8.0
ANA,18264.0,Filtros MV/G4.855.390.45,2.0,9.5,G4,855.390.45,Filtro,855.0,390.0,45.0,,
ANA,18272.0,Filtros MV/G4.490.425.45,2.0,7.25,G4,490.425.45,Filtro,490.0,425.0,45.0,,
ANA,18273.0,Filtros MV/G4.580.580.100,48.0,8.95,G4,580.580.100,Filtro,580.0,580.0,100.0,,
ANA,18273.0,Filtros MV/G4.580.295.100,24.0,7.25,G4,580.295.100,Filtro,580.0,295.0,100.0,,
ANA,18273.0,Filtros G4.592.592.300.25.4,48.0,10.95,G4,592.592.300.25.4,Filtro,592.0,592.0,25.0,300.0,4.0
ANA,18273.0,Filtros G4.287.592.300.25.2,24.0,7.95,G4,287.592.300.25.2,Filtro,287.0,592.0,25.0,300.0,2.0
ANA,18274.0,Filtros MV/M5.470.400.50,2.0,7.5,M5,470.400.50,Filtro,470.0,400.0,50.0,,
ANA,18274.0,Filtros MV/G4.395.395.48,2.0,6.25,G4,395.395.48,Filtro,395.0,395.0,48.0,,
ANA,18274.0,Filtros F7/PL.395.395.48,1.0,17.5,F7,395.395.48,Filtro,395.0,395.0,48.0,,
ANA,18275.0,Filtros MV/G4.696.481.47,8.0,8.25,G4,696.481.47,Filtro,696.0,481.0,47.0,,
ANA,18283.0,Filtros MP/G3.785.210.3,12.0,5.5,G3,785.210.3,Filtro,785.0,210.0,3.0,,
ANA,18283.0,Filtros MP/G3.1095.200.5,12.0,6.1,G3,1095.200.5,Filtro,1095.0,200.0,5.0,,
ANA,18283.0,Filtros MP/G3.420.200.3,6.0,5.25,G3,420.200.3,Filtro,420.0,200.0,3.0,,
ANA,18284.0,Filtros MP/G3.930.180.10,20.0,4.95,G3,930.180.10,Filtro,930.0,180.0,10.0,,
ANA,18284.0,Filtros MP/G4.1135.180.10,2.0,5.5,G4,1135.180.10,Filtro,1135.0,180.0,10.0,,
ANA,18284.0,Filtros MP/G3.1190.210.5,12.0,4.97,G3,1190.210.5,Filtro,1190.0,210.0,5.0,,
ANA,18284.0,Filtros MP/G3.445.310.10,16.0,4.5,G3,445.310.10,Filtro,445.0,310.0,10.0,,
ANA,18288.0,Filtros MV/G4.287.592.48,6.0,5.5,G4,287.592.48,Filtro,287.0,592.0,48.0,,
ANA,18288.0,Filtros MV/G4.592.592.48,6.0,7.5,G4,592.592.48,Filtro,592.0,592.0,48.0,,
ANA,18288.0,Filtros F7.592.592.380.25.8,9.0,14.2,F7,592.592.380.25.8,Filtro,592.0,592.0,25.0,380.0,8.0
ANA,18288.0,Filtros F7.287.592.380.25.4,9.0,9.95,F7,287.592.380.25.4,Filtro,287.0,592.0,25.0,380.0,4.0
ANA,18288.0,Filtros F7.289.592.600.25.4,15.0,12.5,F7,289.592.600.25.4,Filtro,289.0,592.0,25.0,600.0,4.0
ANA,18288.0,Filtros F7.592.592.600.25.8,60.0,15.5,F7,592.592.600.25.8,Filtro,592.0,592.0,25.0,600.0,8.0
ANA,18288.0,Filtros F7.585.523.600.25.8,3.0,18.5,F7,585.523.600.25.8,Filtro,585.0,523.0,25.0,600.0,8.0
ANA,18288.0,Filtros MV/G4.715.583.98,2.0,12.5,G4,715.583.98,Filtro,715.0,583.0,98.0,,
ANA,18288.0,Filtros F7.715.583.600.25.8,3.0,21.5,F7,715.583.600.25.8,Filtro,715.0,583.0,25.0,600.0,8.0
